cik,tic
1750,AIR
3197,CECE
859163,AVX
1800,ABT
2098,ACU
2186,BKTI
2178,AE
2488,AMD
2969,APD
353184,AIRT
766421,ALK
701288,ATRI
3453,MATX
3499,ALX
3545,ALCO
773840,HON
4127,SWKS
4447,HES
4457,UHAL
771497,ABM
1475922,PRI
4904,AEP
4962,AXP
4977,AFL
5272,AIG
744825,AMS
713425,AMSWA
5981,AVD
318154,AMGN
6176,AP
6281,ADI
6494,ANDR
821026,ANDE
6845,APOG
320193,AAPL
6951,AMAT
6955,EPAC
7039,TREC
352991,AOXY
7084,ADM
7536,ARW
1674862,ASH
744187,REX
769397,ADSK
8670,ADP
8818,AVY
8858,AVT
8868,AVP
8947,AZZ
9092,BMI
808362,BHI
9346,PTVCB
9389,BALL
9984,B
10048,BRN
10329,BSET
10456,BAX
109563,AIT
10795,BDX
732712,VZ
11199,BMS
764478,BBY
12208,BIO
720762,NIMU
715812,BSYN
1130464,BKH
12659,HRB
12927,BA
315213,RHI
13239,0141A
746598,BRC
14177,BRID
14195,BGGSQ
14272,BMY
14693,BF.B
14707,CAL
14930,BC
1104657,MTRN
934612,BRK3
746838,UIS
15847,BUKS
733269,RAMP
21175,CNA
356037,CSPI
277948,CSX
26058,CTS
16040,CBT
16058,CACI
1011659,0176A
16732,CPB
16875,CP
16918,STZ
790051,CSL
17843,CRS
726958,CASY
18172,CTAM
18230,CAT
18255,CATO
278166,CVCO
740664,RFIL
18926,LUMN
19446,CMD
19584,CHE
19617,JPM
19745,CPK
749647,CLSN
93410,CVX
703351,EAT
313927,CHD
20212,CHDN
716133,CBB
723254,CTAS
1400891,IHRT
764065,CLF
21076,CLX
317540,COKE
21344,KO
215466,CDE
21510,COHR
21535,COHU
1302573,OMED.2
21665,CL
830524,CCF
315293,AON
28412,CMA
22356,CBSH
22444,CMC
723612,CAR
22872,CHCR
1688568,DXC
23111,CTG
23197,CMTL
23217,CAG
1549346,SSTK
1726173,BH
732834,CLR
24491,CTB
711404,COO
24545,TAP
24741,GLW
25232,CUZ
25475,CRD.A
1584207,OMF
25895,CRWS
39263,CFR
723603,CULP
26172,CMI
26324,CW
109657,GTBP
30697,WEN
26780,DAN
313616,DHR
351998,DAIO
799165,DWSN
27419,TGT
27904,DAL
27996,DLX
730464,ATGE
939930,PYYX
28917,DDS
29002,DIOD
1744489,DIS
29332,DXYN
29534,DG
29644,DCI
29669,RRD
29905,DOV
1666700,DD
29989,OMC
1498301,ASNAQ
30554,DD.2
30625,FLS
67215,DY
720875,DYNT
30831,DYSL
31791,PKI
31107,EML
49600,EGP
350797,EV
32604,EMR
32621,MSN
1603923,WFRD
731802,ATO
1507605,MARA
33002,EBF
727510,ENZN
316253,ENZ
33185,EFX
33213,EQT
33488,ESCA
1282637,NEU
33992,KINS
746515,EXPD
34067,BOOM
764401,IIIN
34088,XOM
34563,FARM
310522,FNMA
34903,FRT
794367,M
35214,FOE
320017,CLBS
1281761,RF
36146,TRMK
798941,FCNCA
36270,MTB
36966,FHN
37472,FLXS
1128928,FLO
1124198,FLR
37996,F
352825,FSTR
38777,BEN
39368,FUL
40211,GATX
354190,AJG
39911,GPS
40888,AJRD
40533,GD
40570,JOB
40729,ALLY
1467858,GM
88205,SPXC
355811,GNTX
40987,GPC
1052752,GTY
719274,GIGA
42316,GV
42582,GT
42888,GGG
43920,GEF
1273931,MGI
1589061,GYRO
202058,LHX
45876,HSC
46129,AMOT
216085,HVT
46250,HWKN
731012,HCSG
766704,WELL
874238,STRL
719413,HL
46619,HEI
1637459,KHC
916789,HELE
46765,HP
47111,HSY
47217,HPQ
717605,HXL
47307,CRAWA
47518,HRC
1585689,HLT
354950,HD
833795,HOFD
48287,HNI
48465,HRL
357294,HOV
1029800,UBA
48898,HUBB
728535,JBHT
49196,HBAN
315374,HURC
1093082,HBP
49728,IEC
216228,ITT
52827,RYN
49826,ITW
50292,IEHC
1466258,TT
1481582,RYI
50725,GFF
51143,IBM
51253,IFF
808450,NAV
1405495,IDCC
51434,IP
51548,ISCA
895728,ENB
51644,IPG
742112,IVC
728391,AES4
719209,ISRL
52795,AXE
52988,J
105634,EME
1084580,LUK2
200406,JNJ
833444,JCI
319201,KLAC
1506307,KMI
54381,KAMN
54480,KSU
55067,K
55135,KELYA
55529,KEQU
719733,KTCC
55772,KBAL
55785,KMB
56047,KEX
56873,KR
56978,KLIC
763532,LYTS
60714,LXU
57131,LZB
707549,LRCX
57515,LANC
703604,DSGR
58361,LEE
58492,LEG
704051,LM
920760,LEN
59478,LLY
701985,BBWI
59527,LECO
59558,LNC
936468,LMT
60086,L
315852,RRC
60519,LPX
16099,LUB
60977,LDL
67716,MDU
68709,MTSC
61986,MTW
101778,MRO
62234,MCS
62709,MMC
62996,MAS
749038,CCUR
63276,MAT
319815,MXWL
54187,MAYS
63754,MKC
708819,MDRIQ
63908,MCD
752714,MGRC
64040,SPGI
927653,MCK
1613103,MDT
225628,PSSR
310158,MRK
65011,MDP
724004,MLAB
65270,MEI
65312,EVI
66418,MXC
65596,SIEB
1593936,MIK
723125,MU
66004,MSEX
66382,MLKN
66570,MSA
316300,EXCE
66740,MMM
66756,ALE
67347,MOD
67625,MNR
67887,MOG.A
68505,MSI
717423,MUR
69422,INTG
69488,MYE
70858,BAC
72162,NL
73290,BMRA
69633,NSSC
69733,NATH
70145,NFG
1047335,NHC
70318,THC
80172,NPK
275053,NATR
356309,NJR
71691,NYT
1164727,NEM
71829,NR
320187,NKE
72207,NBL
709005,NROM
72331,NDSN
72333,JWN
702165,NSC
789933,NC
72573,MOV
1111711,NI
72903,XEL
73124,NTRS
97216,TEX
110019,WMB2
73088,NWE
1587987,NEWT
